Chr	gene_symbol	tissue	fold_change	p_value	regulation	detecting_method	pubMed_ID
1	MCOLN2	 peripheral blood	-1.58	2.81E-03	DOWN	qRT-PCR	21943286
6	MDGA1	 peripheral blood	-1.64	4.27E-03	DOWN	qRT-PCR	21943286
4	MMAA	 peripheral blood	-1.52	7.77E-04	DOWN	qRT-PCR	21943286
11	MRVI1	 peripheral blood	1.6	9.35E-03	UP	qRT-PCR	21943286
8	MSC	 peripheral blood	-1.82	1.09E-03	DOWN	qRT-PCR	21943286
2	MYO3B	 peripheral blood	-1.72	4.67E-04	DOWN	qRT-PCR	21943286
6	MYO6	 peripheral blood	-1.6	9.40E-03	DOWN	qRT-PCR	21943286
2	NEB	 peripheral blood	1.58	2.81E-03	UP	qRT-PCR	21943286
7	NFE2L3	 peripheral blood	-1.53	8.03E-03	DOWN	qRT-PCR	21943286
6	NT5E	 peripheral blood	-1.53	1.52E-03	DOWN	qRT-PCR	21943286
-	OCC-1	 peripheral blood	-1.54	4.29E-04	DOWN	qRT-PCR	21943286
10	OLAH	 peripheral blood	1.69	1.50E-03	UP	qRT-PCR	21943286
3	OSBPL10	 peripheral blood	-1.56	8.54E-04	DOWN	qRT-PCR	21943286
17	P2RX5	 peripheral blood	-1.51	4.70E-04	DOWN	qRT-PCR	21943286
3	P2RY14	 peripheral blood	-1.51	5.94E-03	DOWN	qRT-PCR	21943286
9	PAX5	 peripheral blood	-1.65	1.53E-03	DOWN	qRT-PCR	21943286
13	PCDH9	 peripheral blood	-1.58	7.70E-05	DOWN	qRT-PCR	21943286
17	PER1	 peripheral blood	1.61	6.14E-04	UP	qRT-PCR	21943286
8	PKHD1L1	 peripheral blood	-1.93	6.30E-03	DOWN	qRT-PCR	21943286
2	PROC	 peripheral blood	1.55	7.83E-04	UP	qRT-PCR	21943286
17	PSMC5	 peripheral blood	-1.53	5.68E-03	DOWN	qRT-PCR	21943286
6	PTPRK	 peripheral blood	-1.68	5.80E-05	DOWN	qRT-PCR	21943286
12	PTPRO	 peripheral blood	-1.64	2.92E-03	DOWN	qRT-PCR	21943286
15	RASGRF1	 peripheral blood	1.56	8.15E-03	UP	qRT-PCR	21943286
2	RASGRP3	 peripheral blood	-1.6	2.05E-04	DOWN	qRT-PCR	21943286
2	SCN3A	 peripheral blood	-2.05	1.43E-05	DOWN	qRT-PCR	21943286
19	SPIB	 peripheral blood	-1.58	1.84E-05	DOWN	qRT-PCR	21943286
8	SQLE	 peripheral blood	-1.63	2.80E-04	DOWN	qRT-PCR	21943286
9	STRBP	 peripheral blood	-1.58	1.61E-03	DOWN	qRT-PCR	21943286
12	TBK1	 peripheral blood	1.55	3.88E-03	UP	qRT-PCR	21943286
14	TCL1A	 peripheral blood	-1.78	1.17E-04	DOWN	qRT-PCR	21943286
14	TCL6	 peripheral blood	-1.79	3.99E-04	DOWN	qRT-PCR	21943286
11	TCN1	 peripheral blood	1.57	1.15E-03	UP	qRT-PCR	21943286
14	TRAJ17	 peripheral blood	-1.56	5.01E-03	DOWN	qRT-PCR	21943286
-	UNQ9368	 peripheral blood	1.61	6.64E-03	UP	qRT-PCR	21943286
X	UTP14A	 peripheral blood	-2.02	4.81E-03	DOWN	qRT-PCR	21943286
6	VNN1	 peripheral blood	1.64	4.99E-03	UP	qRT-PCR	21943286
11	WEE1	 peripheral blood	-1.61	2.72E-03	DOWN	qRT-PCR	21943286
13	ZDHHC20	 peripheral blood	2.09	3.63E-04	UP	qRT-PCR	21943286
19	ZNF154	 peripheral blood	-1.52	4.70E-03	DOWN	qRT-PCR	21943286
19	ZNF320	 peripheral blood	-1.57	3.27E-03	DOWN	qRT-PCR	21943286
19	ZNF382	 peripheral blood	-1.53	8.43E-03	DOWN	qRT-PCR	21943286
18	ZNF396	 peripheral blood	1.53	7.66E-03	UP	qRT-PCR	21943286
19	ZNF420	 peripheral blood	-1.55	5.79E-03	DOWN	qRT-PCR	21943286
19	ZNF545	 peripheral blood	-1.51	2.40E-03	DOWN	qRT-PCR	21943286
19	PVRL2	 peripheral blood	1.72	2.66E-36	UP	RNA-seq	25475535
7	NCAPG2	 peripheral blood	0.97	3.64E-13	UP	RNA-seq	25475535
19	FCER2	 peripheral blood	-0.67	5.87E-05	DOWN	RNA-seq	25475535
1	DRAXIN	 peripheral blood	0.89	2.00E-04	UP	RNA-seq	25475535
19	CEACAM6	 peripheral blood	0.48	4.00E-04	UP	RNA-seq	25475535
11	HBG1	 peripheral blood	-0.79	8.00E-04	DOWN	RNA-seq	25475535
10	ADARB2	 peripheral blood	0.32	2.00E-03	UP	RNA-seq	25475535
6	COL19A1	 peripheral blood	-0.62	3.00E-03	DOWN	RNA-seq	25475535
7	CNTNAP2	 peripheral blood	-0.62	4.00E-03	DOWN	RNA-seq	25475535
8	DEFA4	 peripheral blood	0.3	1.00E-02	UP	RNA-seq	25475535
14	TCL1B	 peripheral blood	-0.86	3.00E-02	DOWN	RNA-seq	25475535
4	SNCA	 peripheral blood	-0.43	3.00E-02	DOWN	RNA-seq	25475535
12	SLC2A14	 peripheral blood	0.61	4.00E-02	UP	RNA-seq	25475535
9	BRD3	blood	-0.3	2.58E-03	DOWN	Microarray	26510930
9	c9orf5	blood	-0.71	4.79E-03	DOWN	Microarray	26510930
12	CBX5	blood	-0.43	5.67E-08	DOWN	Microarray	26510930
11	CD248	blood	-0.38	2.84E-04	DOWN	Microarray	26510930
8	cebpd	blood	0.43	1.28E-04	UP	Microarray	26510930
7	COG5	blood	-0.36	1.29E-03	DOWN	Microarray	26510930
14	COX16	blood	#VALUE!	2.05E-03	DOWN	Microarray	26510930
2	CYP1B1	blood	0.57	1.97E-04	UP	Microarray	26510930
16	dhodh	blood	-0.51	9.45E-04	DOWN	Microarray	26510930
2	dock10	blood	-0.340075442	0.000247	DOWN	Microarray	26510930
12	dusp6	blood	0.45	7.48E-05	UP	Microarray	26510930
4	Etfdh	blood	0.29	4.93E-04	UP	Microarray	26510930
17	EZH1	blood	-0.36	1.73E-03	DOWN	Microarray	26510930
19	FLT3LG	blood	-0.42	3.97E-04	DOWN	Microarray	26510930
1	HPCAL4	blood	-0.6	1.22E-03	DOWN	Microarray	26510930
1	INPP5B	blood	-0.42	3.50E-03	DOWN	Microarray	26510930
-	KIAA1659	blood	-0.6	9.86E-04	DOWN	Microarray	26510930
5	LOC202181	blood	-0.3	1.11E-03	DOWN	Microarray	26510930
3	LRCH3	blood	-0.32	6.26E-04	DOWN	Microarray	26510930
6	LTB	blood	-0.34	1.15E-03	DOWN	Microarray	26510930
1	MAN1C1	blood	-0.47	2.95E-04	DOWN	Microarray	26510930
5	MAST4	blood	-0.4	3.00E-03	DOWN	Microarray	26510930
14	MED6	blood	-0.34	4.40E-03	DOWN	Microarray	26510930
9	MEGF9	blood	0.37	2.03E-03	UP	Microarray	26510930
4	NOP14	blood	-0.36	1.57E-03	DOWN	Microarray	26510930
1	Nucks1	blood	-0.34	4.94E-03	DOWN	Microarray	26510930
4	paics	blood	-0.27	4.98E-04	DOWN	Microarray	26510930
1	PEX11B	blood	-0.18	1.43E-03	DOWN	Microarray	26510930
4	SAP30	blood	0.43	2.76E-03	UP	Microarray	26510930
2	SATB2	blood	0.74	3.65E-04	UP	Microarray	26510930
X	6-Sep	blood	-0.3	8.53E-04	DOWN	Microarray	26510930
3	SLC25A20	blood	0.37	1.32E-04	UP	Microarray	26510930
2	TBC1D8	blood	0.41	2.48E-04	UP	Microarray	26510930
19	tcf3	blood	-0.42	8.62E-05	DOWN	Microarray	26510930
17	thrA	blood	-0.47	1.97E-03	DOWN	Microarray	26510930
16	TMEM204	blood	0.41	3.30E-03	UP	Microarray	26510930
1	TNFRSF25	blood	-0.36	5.03E-04	DOWN	Microarray	26510930
8	Tox	blood	0.37	2.42E-04	UP	Microarray	26510930
10	tspan15	blood	-0.45	1.11E-03	DOWN	Microarray	26510930
21	URB1	blood	-0.36	6.26E-04	DOWN	Microarray	26510930
17	ZNF652	blood	-0.64	4.20E-04	DOWN	Microarray	26510930
1	ZNF669	blood	-0.27	4.16E-03	DOWN	Microarray	26510930
10	5-Mar	prefrontal cortex	0.3	3.22E-04	UP	Microarray	26793951
-	A_23_P129258	prefrontal cortex	-0.42	1.44E-05	DOWN	Microarray	26793951
-	A_23_P142197	prefrontal cortex	-0.22	2.04E-05	DOWN	Microarray	26793951
-	A_23_P331087	prefrontal cortex	0.32	8.82E-04	UP	Microarray	26793951
-	A_24_P315885	prefrontal cortex	-0.69	6.28E-04	DOWN	Microarray	26793951
-	A_24_P534290	prefrontal cortex	-0.33	2.87E-04	DOWN	Microarray	26793951
-	A_24_P831005	prefrontal cortex	-0.41	2.16E-04	DOWN	Microarray	26793951
-	A_24_P902195	prefrontal cortex	0.54	7.94E-04	UP	Microarray	26793951
-	A_32_P10643	prefrontal cortex	-0.35	5.03E-04	DOWN	Microarray	26793951
-	A_32_P51714	prefrontal cortex	-0.38	5.57E-04	DOWN	Microarray	26793951
-	A_32_P73717	prefrontal cortex	-0.4	8.09E-04	DOWN	Microarray	26793951
-	A_32_P75141	prefrontal cortex	0.58	1.13E-04	UP	Microarray	26793951
-	A_32_P80198	prefrontal cortex	-0.5	2.78E-05	DOWN	Microarray	26793951
-	A_32_P83795	prefrontal cortex	-0.54	1.91E-04	DOWN	Microarray	26793951
-	A_32_P8857	prefrontal cortex	-0.5	9.66E-04	DOWN	Microarray	26793951
-	A_32_P95502	prefrontal cortex	-0.23	3.12E-04	DOWN	Microarray	26793951
-	A2ML1	prefrontal cortex	0.48	2.40E-03	UP	RNA-Seq	26793951
-	AA069768	prefrontal cortex	-0.4	3.47E-04	DOWN	Microarray	26793951
-	AA301508	prefrontal cortex	-0.39	5.63E-04	DOWN	Microarray	26793951
-	AA372247	prefrontal cortex	-0.44	7.27E-04	DOWN	Microarray	26793951
-	AA431401	prefrontal cortex	-0.4	6.83E-05	DOWN	Microarray	26793951
-	AA573471	prefrontal cortex	-0.16	3.74E-04	DOWN	Microarray	26793951
-	AA627222	prefrontal cortex	-0.54	5.04E-05	DOWN	Microarray	26793951
-	AA725389	prefrontal cortex	-0.37	6.39E-06	DOWN	Microarray	26793951
-	AA887462	prefrontal cortex	-0.5	5.23E-06	DOWN	Microarray	26793951
-	AA911065	prefrontal cortex	-0.65	4.68E-04	DOWN	Microarray	26793951
-	AB019568	prefrontal cortex	-0.37	7.77E-04	DOWN	Microarray	26793951
2	ABCB6	prefrontal cortex	0.43	1.97E-05	UP	RNA-Seq	26793951
4	ABCE1	prefrontal cortex	-0.28	4.01E-04	DOWN	RNA-Seq	26793951
1	ABL2	prefrontal cortex	0.39	2.15E-04	UP	Microarray	26793951
-	AC002472.13	prefrontal cortex	-0.81	7.34E-04	DOWN	RNA-Seq	26793951
-	AC026310.1	prefrontal cortex	-0.65	2.81E-03	DOWN	RNA-Seq	26793951
-	AC073343.1	prefrontal cortex	-0.69	1.08E-05	DOWN	RNA-Seq	26793951
-	AC135048.1	prefrontal cortex	0.73	2.59E-04	UP	RNA-Seq	26793951
-	AC139100.2	prefrontal cortex	0.57	9.79E-04	UP	RNA-Seq	26793951
-	AC145676.2	prefrontal cortex	0.7	3.02E-03	UP	RNA-Seq	26793951
10	ACADSB	prefrontal cortex	-0.39	7.81E-05	DOWN	RNA-Seq	26793951
17	ACADVL	prefrontal cortex	0.3	1.45E-03	UP	RNA-Seq	26793951
10	ACBD7	prefrontal cortex	-0.48	6.02E-04	DOWN	Microarray	26793951
6	ACOT13	prefrontal cortex	-0.11	8.46E-05	DOWN	microarray transcriptomics	26793951
X	ACRC	prefrontal cortex	0.65	1.26E-05	UP	RNA-Seq	26793951
5	ACSL6	prefrontal cortex	-0.12	6.16E-04	DOWN	microarray transcriptomics	26793951
10	ACTA2	prefrontal cortex	0.11	3.21E-06	UP	microarray transcriptomics	26793951
10	ACTA2	prefrontal cortex	-0.71	2.46E-03	DOWN	RNA-Seq	26793951
7	ACTB	prefrontal cortex	0.08	4.63E-04	UP	microarray transcriptomics	26793951
1	ACTN2	prefrontal cortex	-0.33	2.92E-03	DOWN	RNA-Seq	26793951
19	ACTN4	prefrontal cortex	-0.08	1.90E-03	DOWN	microarray transcriptomics	26793951
2	ACTR3	prefrontal cortex	0.1	8.24E-04	UP	microarray transcriptomics	26793951
2	ADAM23	prefrontal cortex	-0.1	3.76E-03	DOWN	microarray transcriptomics	26793951
20	ADAM33	prefrontal cortex	0.84	4.39E-07	UP	RNA-Seq	26793951
5	ADAMTS2	prefrontal cortex	0.57	4.67E-04	UP	RNA-Seq	26793951
21	ADAMTS5	prefrontal cortex	-0.76	5.33E-04	DOWN	RNA-Seq	26793951
16	ADAT1	prefrontal cortex	-0.26	3.07E-03	DOWN	RNA-Seq	26793951
6	ADAT2	prefrontal cortex	-0.28	2.39E-03	DOWN	RNA-Seq	26793951
1	ADCY10	prefrontal cortex	0.55	1.14E-03	UP	RNA-Seq	26793951
18	ADCYAP1	prefrontal cortex	-0.68	4.55E-04	DOWN	RNA-Seq	26793951
6	ADGB	prefrontal cortex	-0.77	1.22E-03	DOWN	RNA-Seq	26793951
4	ADH5	prefrontal cortex	0.41	9.42E-05	UP	Microarray	26793951
11	ADM	prefrontal cortex	0.68	2.07E-03	UP	RNA-Seq	26793951
-	AF086156	prefrontal cortex	-0.49	1.74E-04	DOWN	Microarray	26793951
-	AF088007	prefrontal cortex	-0.41	8.04E-04	DOWN	Microarray	26793951
-	AF088026	prefrontal cortex	0.22	2.41E-04	UP	Microarray	26793951
-	AF113011	prefrontal cortex	-0.41	8.55E-04	DOWN	Microarray	26793951
-	AF116719	prefrontal cortex	-0.25	1.59E-04	DOWN	Microarray	26793951
-	AF130109	prefrontal cortex	-0.49	1.99E-05	DOWN	Microarray	26793951
-	AF131762	prefrontal cortex	0.5	8.60E-04	UP	Microarray	26793951
-	AF132973	prefrontal cortex	-0.47	3.64E-04	DOWN	Microarray	26793951
7	AGFG2	prefrontal cortex	0.34	4.04E-04	UP	RNA-Seq	26793951
9	AGTPBP1	prefrontal cortex	-0.42	1.65E-03	DOWN	RNA-Seq	26793951
14	AHSA1	prefrontal cortex	0.42	2.25E-04	UP	RNA-Seq	26793951
-	AI267511	prefrontal cortex	-0.29	6.87E-04	DOWN	Microarray	26793951
-	AI348443	prefrontal cortex	-0.42	5.56E-04	DOWN	Microarray	26793951
-	AI359141	prefrontal cortex	-0.6	7.27E-04	DOWN	Microarray	26793951
-	AI537201	prefrontal cortex	0.25	6.77E-06	UP	Microarray	26793951
-	AI925475	prefrontal cortex	-0.37	5.65E-04	DOWN	Microarray	26793951
-	AI937689	prefrontal cortex	-0.29	4.18E-04	DOWN	Microarray	26793951
7	AIMP2	prefrontal cortex	-0.21	2.76E-03	DOWN	RNA-Seq	26793951
-	AK000809	prefrontal cortex	-0.45	1.49E-04	DOWN	Microarray	26793951
-	AK002036	prefrontal cortex	0.24	5.03E-04	UP	Microarray	26793951
-	AK023660	prefrontal cortex	0.31	9.40E-04	UP	Microarray	26793951
-	AK054572	prefrontal cortex	0.32	1.13E-04	UP	Microarray	26793951
-	AK092875	prefrontal cortex	0.48	4.41E-04	UP	Microarray	26793951
-	AK093987	prefrontal cortex	0.26	4.51E-04	UP	Microarray	26793951
-	AK095453	prefrontal cortex	0.42	8.17E-04	UP	Microarray	26793951
-	AK098081	prefrontal cortex	0.26	1.21E-04	UP	Microarray	26793951
9	AK1	prefrontal cortex	0.29	6.74E-04	UP	RNA-Seq	26793951
-	AK123649	prefrontal cortex	0.4	6.46E-05	UP	Microarray	26793951
-	AK125077	prefrontal cortex	0.36	4.41E-04	UP	Microarray	26793951
-	AK127378	prefrontal cortex	-0.37	8.77E-05	DOWN	Microarray	26793951
14	AK7	prefrontal cortex	-0.69	4.20E-04	DOWN	RNA-Seq	26793951
14	AKAP5	prefrontal cortex	-0.67	8.86E-04	DOWN	RNA-Seq	26793951
14	AKAP6	prefrontal cortex	-0.37	2.66E-05	DOWN	RNA-Seq	26793951
7	AKR1B1	prefrontal cortex	0.06	8.85E-04	UP	microarray transcriptomics	26793951
7	AKR1B10	prefrontal cortex	0.64	7.79E-04	UP	Microarray	26793951
10	AKR1C2	prefrontal cortex	0.72	5.88E-05	UP	RNA-Seq	26793951
-	AL031663.2	prefrontal cortex	0.63	1.95E-03	UP	RNA-Seq	26793951
-	AL035588.1	prefrontal cortex	0.69	2.70E-03	UP	RNA-Seq	26793951
-	AL138781.1	prefrontal cortex	0.84	4.94E-06	UP	RNA-Seq	26793951
-	AL533190	prefrontal cortex	-0.56	5.11E-04	DOWN	Microarray	26793951
-	AL562818	prefrontal cortex	-0.48	1.19E-04	DOWN	Microarray	26793951
-	AL582976	prefrontal cortex	-0.48	1.86E-05	DOWN	Microarray	26793951
-	AL807752.1	prefrontal cortex	-0.67	4.42E-04	DOWN	RNA-Seq	26793951
4	ALB	prefrontal cortex	-0.6	1.87E-03	DOWN	RNA-Seq	26793951
9	ALDH1A1	prefrontal cortex	-0.54	9.82E-05	DOWN	RNA-Seq	26793951
9	ALDH1A1	prefrontal cortex	-0.24	5.48E-04	DOWN	microarray transcriptomics	26793951
11	ALKBH8	prefrontal cortex	-0.32	3.63E-04	DOWN	RNA-Seq	26793951
2	ALMS1	prefrontal cortex	-0.47	3.05E-04	DOWN	RNA-Seq	26793951
2	ALMS1	prefrontal cortex	-0.33	7.63E-04	DOWN	Microarray	26793951
17	ALOX15B	prefrontal cortex	0.61	1.98E-03	UP	RNA-Seq	26793951
2	ALS2CR13	prefrontal cortex	0.27	5.15E-04	UP	Microarray	26793951
12	AMDHD1	prefrontal cortex	-0.57	1.27E-03	DOWN	RNA-Seq	26793951
1	AMIGO1	prefrontal cortex	-0.16	5.01E-05	DOWN	microarray transcriptomics	26793951
1	AMY2A	prefrontal cortex	-0.68	1.06E-03	DOWN	RNA-Seq	26793951
2	ANAPC1	prefrontal cortex	-0.2	2.64E-03	DOWN	RNA-Seq	26793951
10	ANAPC16	prefrontal cortex	0.36	4.90E-04	UP	RNA-Seq	26793951
8	ANGPT2	prefrontal cortex	0.73	2.53E-04	UP	RNA-Seq	26793951
9	ANGPTL2	prefrontal cortex	-0.71	1.97E-04	DOWN	RNA-Seq	26793951
10	ANK3	prefrontal cortex	-0.47	1.55E-04	DOWN	RNA-Seq	26793951
19	ANKLE1	prefrontal cortex	0.51	2.83E-04	UP	RNA-Seq	26793951
1	ANKRD13C	prefrontal cortex	-0.27	3.07E-03	DOWN	RNA-Seq	26793951
5	ANKRD34B	prefrontal cortex	-0.83	2.52E-04	DOWN	RNA-Seq	26793951
2	ANKRD36	prefrontal cortex	-0.55	3.02E-05	DOWN	RNA-Seq	26793951
2	ANKRD36C	prefrontal cortex	-0.51	2.38E-04	DOWN	RNA-Seq	26793951
4	ANKRD37	prefrontal cortex	0.6	9.40E-05	UP	RNA-Seq	26793951
2	ANKRD57	prefrontal cortex	0.45	2.63E-04	UP	Microarray	26793951
6	ANKRD66	prefrontal cortex	-0.74	1.77E-03	DOWN	RNA-Seq	26793951
12	ANO2	prefrontal cortex	0.52	1.74E-03	UP	RNA-Seq	26793951
15	ANPEP	prefrontal cortex	0.72	9.97E-05	UP	RNA-Seq	26793951
17	AOC2	prefrontal cortex	0.44	1.03E-03	UP	RNA-Seq	26793951
1	APOA1BP	prefrontal cortex	0.11	3.72E-03	UP	microarray transcriptomics	26793951
X	APOOL	prefrontal cortex	-0.56	3.10E-03	DOWN	RNA-Seq	26793951
7	AQP1	prefrontal cortex	0.38	1.42E-03	UP	microarray transcriptomics	26793951
11	ARAP1	prefrontal cortex	0.39	1.99E-03	UP	RNA-Seq	26793951
14	AREL1	prefrontal cortex	-0.2	8.11E-04	DOWN	RNA-Seq	26793951
11	ARHGAP1	prefrontal cortex	0.12	2.13E-04	UP	microarray transcriptomics	26793951
17	ARHGDIA	prefrontal cortex	0.08	3.22E-04	UP	microarray transcriptomics	26793951
11	ARHGEF12	prefrontal cortex	0.06	4.20E-03	UP	microarray transcriptomics	26793951
1	ARHGEF19	prefrontal cortex	0.64	3.70E-05	UP	RNA-Seq	26793951
12	ARID2	prefrontal cortex	0.26	3.35E-04	UP	Microarray	26793951
2	ARID5A	prefrontal cortex	0.52	2.40E-04	UP	RNA-Seq	26793951
3	ARIH2OS	prefrontal cortex	-0.4	2.23E-03	DOWN	RNA-Seq	26793951
12	ARL6IP4	prefrontal cortex	0.5	2.86E-04	UP	RNA-Seq	26793951
X	ARMCX4	prefrontal cortex	-0.35	1.64E-05	DOWN	RNA-Seq	26793951
X	ARMCX5	prefrontal cortex	-0.28	5.42E-04	DOWN	RNA-Seq	26793951
X	ARR3	prefrontal cortex	-0.55	3.10E-03	DOWN	RNA-Seq	26793951
5	ARSB	prefrontal cortex	-0.22	3.02E-03	DOWN	RNA-Seq	26793951
4	ART3	prefrontal cortex	0.48	2.60E-03	UP	RNA-Seq	26793951
2	ASAP2	prefrontal cortex	-0.13	1.11E-04	DOWN	microarray transcriptomics	26793951
9	ASS1	prefrontal cortex	0.12	3.00E-03	UP	microarray transcriptomics	26793951
3	ASTE1	prefrontal cortex	-0.34	1.28E-05	DOWN	RNA-Seq	26793951
10	ATAD1	prefrontal cortex	-0.13	1.78E-03	DOWN	microarray transcriptomics	26793951
1	ATAD3A	prefrontal cortex	-0.08	5.02E-03	DOWN	microarray transcriptomics	26793951
22	ATF4	prefrontal cortex	0.33	1.18E-03	UP	RNA-Seq	26793951
1	ATF6	prefrontal cortex	-0.21	1.60E-03	DOWN	RNA-Seq	26793951
14	ATG14	prefrontal cortex	-0.33	2.29E-05	DOWN	RNA-Seq	26793951
