type,DrugBank ID,DrugBank Name,Group,Gene Target
biotech,DB00015,Reteplase,investigational,SERPINE1
biotech,DB00016,Erythropoietin,approved,EPOR
biotech,DB00017,Salmon calcitonin,investigational,CALCR
biotech,DB00018,Interferon alfa-n3,investigational,IFNAR1
biotech,DB00018,Interferon alfa-n3,investigational,IFNAR2
biotech,DB00019,Pegfilgrastim,approved,CSF3R
biotech,DB00020,Sargramostim,investigational,CSF2RA
biotech,DB00020,Sargramostim,investigational,IL3RA
biotech,DB00020,Sargramostim,investigational,CSF2RB
biotech,DB00020,Sargramostim,investigational,SDC2
biotech,DB00020,Sargramostim,investigational,PRG2
biotech,DB00022,Peginterferon alfa-2b,approved,IFNAR1
biotech,DB00022,Peginterferon alfa-2b,approved,IFNAR2
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,F10
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,F9
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,VWF
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,PHYH
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,ASGR2
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,HSPA5
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,CALR
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,CANX
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,LMAN1
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,LRP1
biotech,DB00025,"Antihemophilic factor, human recombinant",investigational,MCFD2
biotech,DB00026,Anakinra,investigational,IL1R1
biotech,DB00028,Human immunoglobulin G,investigational,FCGR1A
biotech,DB00028,Human immunoglobulin G,investigational,FCGR1B
biotech,DB00028,Human immunoglobulin G,investigational,FCGR2A
biotech,DB00028,Human immunoglobulin G,investigational,FCGR2B
biotech,DB00028,Human immunoglobulin G,investigational,FCGR2C
biotech,DB00028,Human immunoglobulin G,investigational,FCGR3A
biotech,DB00028,Human immunoglobulin G,investigational,FCGR3B
biotech,DB00028,Human immunoglobulin G,investigational,C3
biotech,DB00028,Human immunoglobulin G,investigational,C4A
biotech,DB00028,Human immunoglobulin G,investigational,C4B
biotech,DB00028,Human immunoglobulin G,investigational,C5
biotech,DB00029,Anistreplase,approved,PLG
biotech,DB00029,Anistreplase,approved,FGA
biotech,DB00029,Anistreplase,approved,SERPINE1
biotech,DB00030,Insulin human,investigational,INSR
biotech,DB00030,Insulin human,investigational,IGF1R
biotech,DB00030,Insulin human,investigational,CPE
biotech,DB00030,Insulin human,investigational,NOV
biotech,DB00030,Insulin human,investigational,LRP2
biotech,DB00030,Insulin human,investigational,IGFBP7
biotech,DB00031,Tenecteplase,approved,PLG
biotech,DB00031,Tenecteplase,approved,FGA
biotech,DB00031,Tenecteplase,approved,PLAUR
biotech,DB00031,Tenecteplase,approved,SERPINE1
biotech,DB00031,Tenecteplase,approved,SERPINB2
biotech,DB00031,Tenecteplase,approved,CLEC3B
biotech,DB00031,Tenecteplase,approved,KRT8
biotech,DB00031,Tenecteplase,approved,ANXA2
biotech,DB00031,Tenecteplase,approved,CALR
biotech,DB00031,Tenecteplase,approved,CANX
biotech,DB00031,Tenecteplase,approved,LRP1
biotech,DB00032,Menotropins,approved,FSHR
biotech,DB00032,Menotropins,approved,LHCGR
biotech,DB00033,Interferon gamma-1b,investigational,IFNGR1
biotech,DB00033,Interferon gamma-1b,investigational,IFNGR2
biotech,DB00034,Interferon alfa-2a,investigational,IFNAR1
biotech,DB00034,Interferon alfa-2a,investigational,IFNAR2
small molecule,DB00035,Desmopressin,approved,AVPR2
small molecule,DB00035,Desmopressin,approved,AVPR1A
small molecule,DB00035,Desmopressin,approved,AVPR1B
biotech,DB00036,Coagulation factor VIIa Recombinant Human,approved,F10
biotech,DB00036,Coagulation factor VIIa Recombinant Human,approved,F3
biotech,DB00036,Coagulation factor VIIa Recombinant Human,approved,TFPI
biotech,DB00036,Coagulation factor VIIa Recombinant Human,approved,GGCX
biotech,DB00036,Coagulation factor VIIa Recombinant Human,approved,F7
biotech,DB00038,Oprelvekin,investigational,IL11RA
biotech,DB00039,Palifermin,approved,FGFR2
biotech,DB00039,Palifermin,approved,FGFR1
biotech,DB00039,Palifermin,approved,HSPG2
biotech,DB00040,Glucagon,approved,GCGR
biotech,DB00040,Glucagon,approved,GLP2R
biotech,DB00040,Glucagon,approved,GLP1R
biotech,DB00041,Aldesleukin,approved,IL2RB
biotech,DB00041,Aldesleukin,approved,IL2RA
biotech,DB00041,Aldesleukin,approved,IL2RG
biotech,DB00042,Botulinum toxin type B,investigational,VAMP2
biotech,DB00042,Botulinum toxin type B,investigational,VAMP1
biotech,DB00042,Botulinum toxin type B,investigational,SYT2
biotech,DB00043,Omalizumab,investigational,FCER1A
biotech,DB00043,Omalizumab,investigational,MS4A2
biotech,DB00044,Lutropin alfa,approved,LHCGR
biotech,DB00046,Insulin lispro,approved,INSR
biotech,DB00046,Insulin lispro,approved,IGF1R
biotech,DB00047,Insulin glargine,approved,INSR
biotech,DB00047,Insulin glargine,approved,IGF1R
biotech,DB00048,Collagenase clostridium histolyticum,investigational,COL1A1
biotech,DB00048,Collagenase clostridium histolyticum,investigational,COL2A1
biotech,DB00048,Collagenase clostridium histolyticum,investigational,COL3A1
small molecule,DB00050,Cetrorelix,investigational,GNRHR
small molecule,DB00050,Cetrorelix,investigational,LHCGR
biotech,DB00052,Somatotropin,investigational,GHR
biotech,DB00052,Somatotropin,investigational,PRLR
biotech,DB00054,Abciximab,approved,ITGB3
biotech,DB00054,Abciximab,approved,ITGA2B
biotech,DB00054,Abciximab,approved,FCGR2A
biotech,DB00054,Abciximab,approved,FCGR2B
biotech,DB00054,Abciximab,approved,VTN
biotech,DB00056,Gemtuzumab ozogamicin,investigational,CD33
biotech,DB00056,Gemtuzumab ozogamicin,investigational,FCGR3B
biotech,DB00056,Gemtuzumab ozogamicin,investigational,FCGR3A
biotech,DB00056,Gemtuzumab ozogamicin,investigational,FCGR1A
biotech,DB00058,Alpha-1-proteinase inhibitor,approved,ELANE
biotech,DB00060,Interferon beta-1a,investigational,IFNAR1
biotech,DB00060,Interferon beta-1a,investigational,IFNAR2
biotech,DB00061,Pegademase,approved,GRB2
biotech,DB00063,Eptifibatide,investigational,ITGB3
biotech,DB00063,Eptifibatide,investigational,CACNA1B
biotech,DB00063,Eptifibatide,investigational,CACNA1B
biotech,DB00065,Infliximab,approved,TNF
biotech,DB00066,Follitropin,approved,FSHR
small molecule,DB00067,Vasopressin,approved,AVPR2
small molecule,DB00067,Vasopressin,approved,AVPR1A
small molecule,DB00067,Vasopressin,approved,AVPR1B
small molecule,DB00067,Vasopressin,approved,OXTR
biotech,DB00068,Interferon beta-1b,approved,IFNAR1
biotech,DB00068,Interferon beta-1b,approved,IFNAR2
biotech,DB00069,Interferon alfacon-1,investigational,IFNAR1
biotech,DB00069,Interferon alfacon-1,investigational,IFNAR2
biotech,DB00070,Hyaluronidase (ovine),investigational,TGFB1
biotech,DB00071,Insulin pork,approved,INSR
biotech,DB00071,Insulin pork,approved,IGF1R
biotech,DB00072,Trastuzumab,investigational,ERBB2
biotech,DB00073,Rituximab,approved,MS4A1
biotech,DB00074,Basiliximab,investigational,IL2RA
biotech,DB00074,Basiliximab,investigational,IL2RB
biotech,DB00075,Muromonab,investigational,CD3D
biotech,DB00075,Muromonab,investigational,CD3E
biotech,DB00075,Muromonab,investigational,CD3G
biotech,DB00075,Muromonab,investigational,CD247
biotech,DB00075,Muromonab,investigational,FCGR3B
biotech,DB00078,Ibritumomab tiuxetan,investigational,MS4A1
biotech,DB00081,Tositumomab,investigational,MS4A1
biotech,DB00081,Tositumomab,investigational,FCGR2B
biotech,DB00082,Pegvisomant,approved,GHR
biotech,DB00083,Botulinum toxin type A,investigational,SNAP25
biotech,DB00083,Botulinum toxin type A,investigational,RHOB
biotech,DB00086,Streptokinase,investigational,PLG
biotech,DB00086,Streptokinase,investigational,F2R
biotech,DB00087,Alemtuzumab,investigational,CD52
biotech,DB00087,Alemtuzumab,investigational,FCGR3B
biotech,DB00087,Alemtuzumab,investigational,FCGR3A
biotech,DB00087,Alemtuzumab,investigational,FCGR1A
biotech,DB00087,Alemtuzumab,investigational,FCGR2A
biotech,DB00087,Alemtuzumab,investigational,FCGR2B
biotech,DB00087,Alemtuzumab,investigational,FCGR2C
biotech,DB00089,Capromab pendetide,approved,FOLH1
biotech,DB00097,Choriogonadotropin alfa,approved,LHCGR
biotech,DB00097,Choriogonadotropin alfa,approved,FSHR
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,MR1
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,ITGAL
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,CD86
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,FCGR2B
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,CD4
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,ITGB1
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,ITGAV
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,ITGB3
biotech,DB00098,Antithymocyte immunoglobulin (rabbit),approved,CD1A
biotech,DB00099,Filgrastim,approved,CSF3R
biotech,DB00100,Coagulation Factor IX (Recombinant),investigational,F10
biotech,DB00100,Coagulation Factor IX (Recombinant),investigational,F11
biotech,DB00100,Coagulation Factor IX (Recombinant),investigational,F7
biotech,DB00100,Coagulation Factor IX (Recombinant),investigational,F8
biotech,DB00100,Coagulation Factor IX (Recombinant),investigational,F2
biotech,DB00100,Coagulation Factor IX (Recombinant),investigational,LRP1
biotech,DB00100,Coagulation Factor IX (Recombinant),investigational,GGCX
biotech,DB00102,Becaplermin,investigational,PDGFRB
biotech,DB00102,Becaplermin,investigational,PDGFRA
biotech,DB00102,Becaplermin,investigational,A2M
biotech,DB00105,Interferon alfa-2b,approved,IFNAR2
biotech,DB00105,Interferon alfa-2b,approved,IFNAR1
biotech,DB00108,Natalizumab,investigational,ITGA4
biotech,DB00108,Natalizumab,investigational,FCGR3B
biotech,DB00108,Natalizumab,investigational,ICAM1
biotech,DB00108,Natalizumab,investigational,FCGR1A
biotech,DB00110,Palivizumab,investigational,FCGR3B
biotech,DB00110,Palivizumab,investigational,C1R
biotech,DB00110,Palivizumab,investigational,C1QA
biotech,DB00110,Palivizumab,investigational,C1QB
biotech,DB00110,Palivizumab,investigational,C1QC
biotech,DB00110,Palivizumab,investigational,FCGR3A
biotech,DB00110,Palivizumab,investigational,FCGR1A
biotech,DB00110,Palivizumab,investigational,FCGR2B
biotech,DB00112,Bevacizumab,investigational,VEGFA
biotech,DB00112,Bevacizumab,investigational,C1QA
biotech,DB00112,Bevacizumab,investigational,C1QB
biotech,DB00112,Bevacizumab,investigational,C1QC
biotech,DB00112,Bevacizumab,investigational,FCGR3A
biotech,DB00112,Bevacizumab,investigational,FCGR1A
biotech,DB00112,Bevacizumab,investigational,FCGR2A
biotech,DB00112,Bevacizumab,investigational,FCGR2B
biotech,DB00112,Bevacizumab,investigational,FCGR2C
small molecule,DB00175,Pravastatin,approved,HMGCR
small molecule,DB00175,Pravastatin,approved,HDAC2
small molecule,DB00176,Fluvoxamine,investigational,SLC6A4
small molecule,DB00176,Fluvoxamine,investigational,KCNH2
small molecule,DB00177,Valsartan,investigational,AGTR1
small molecule,DB00178,Ramipril,approved,ACE
small molecule,DB00178,Ramipril,approved,BDKRB1
small molecule,DB00179,Masoprocol,investigational,ALOX5
small molecule,DB00179,Masoprocol,investigational,SHBG
small molecule,DB00179,Masoprocol,investigational,TRPM7
small molecule,DB00180,Flunisolide,investigational,NR3C1
small molecule,DB00181,Baclofen,approved,GABBR2
small molecule,DB00181,Baclofen,approved,CXCR4
small molecule,DB00181,Baclofen,approved,GABBR1
small molecule,DB00182,Amphetamine,investigational,SLC18A2
small molecule,DB00182,Amphetamine,investigational,SLC6A3
small molecule,DB00182,Amphetamine,investigational,CARTPT
small molecule,DB00182,Amphetamine,investigational,TAAR1
small molecule,DB00182,Amphetamine,investigational,MAOA
small molecule,DB00182,Amphetamine,investigational,MAOB
small molecule,DB00182,Amphetamine,investigational,VMAT2
small molecule,DB00182,Amphetamine,investigational,SLC6A2
small molecule,DB00182,Amphetamine,investigational,ADRA1A
small molecule,DB00182,Amphetamine,investigational,ADRA1B
small molecule,DB00182,Amphetamine,investigational,ADRA1D
small molecule,DB00182,Amphetamine,investigational,ADRA2A
small molecule,DB00182,Amphetamine,investigational,ADRA2B
small molecule,DB00182,Amphetamine,investigational,ADRA2C
small molecule,DB00182,Amphetamine,investigational,ADRB1
small molecule,DB00182,Amphetamine,investigational,ADRB2
small molecule,DB00182,Amphetamine,investigational,ADRB3
small molecule,DB00182,Amphetamine,investigational,DRD2
small molecule,DB00182,Amphetamine,investigational,MAOB
small molecule,DB00182,Amphetamine,investigational,SLC6A4
small molecule,DB00183,Pentagastrin,approved,CCKBR
small molecule,DB00184,Nicotine,approved,CHRNA4
small molecule,DB00184,Nicotine,approved,CHRNA7
small molecule,DB00184,Nicotine,approved,CHRNB2
small molecule,DB00184,Nicotine,approved,CHRNA2
small molecule,DB00184,Nicotine,approved,CHRNA3
small molecule,DB00184,Nicotine,approved,CHRNA5
small molecule,DB00184,Nicotine,approved,CHRNA6
small molecule,DB00184,Nicotine,approved,CHRNA9
small molecule,DB00184,Nicotine,approved,CHRNA10
small molecule,DB00184,Nicotine,approved,CHRNB3
small molecule,DB00184,Nicotine,approved,CHRNB4
small molecule,DB00184,Nicotine,approved,CYP19A1
small molecule,DB00184,Nicotine,approved,CHAT
small molecule,DB00185,Cevimeline,approved,CHRM3
small molecule,DB00185,Cevimeline,approved,CHRM1
small molecule,DB00186,Lorazepam,approved,GABRA1
small molecule,DB00186,Lorazepam,approved,GABRA2
small molecule,DB00186,Lorazepam,approved,GABRA3
small molecule,DB00186,Lorazepam,approved,GABRA4
small molecule,DB00186,Lorazepam,approved,GABRA5
small molecule,DB00186,Lorazepam,approved,GABRA6
small molecule,DB00186,Lorazepam,approved,GABRB1
small molecule,DB00186,Lorazepam,approved,GABRB2
small molecule,DB00186,Lorazepam,approved,GABRB3
small molecule,DB00186,Lorazepam,approved,GABRD
small molecule,DB00186,Lorazepam,approved,GABRE
small molecule,DB00186,Lorazepam,approved,GABRG1
small molecule,DB00186,Lorazepam,approved,GABRG2
small molecule,DB00186,Lorazepam,approved,GABRG3
small molecule,DB00186,Lorazepam,approved,GABRP
small molecule,DB00186,Lorazepam,approved,GABRQ
small molecule,DB00186,Lorazepam,approved,GABRA1
small molecule,DB00186,Lorazepam,approved,GABRA2
small molecule,DB00186,Lorazepam,approved,GABRA3
small molecule,DB00186,Lorazepam,approved,GABRA5
small molecule,DB00186,Lorazepam,approved,GABRG1
small molecule,DB00186,Lorazepam,approved,GABRG2
small molecule,DB00186,Lorazepam,approved,GABRG3
small molecule,DB00188,Bortezomib,investigational,PSMB5
small molecule,DB00188,Bortezomib,investigational,PSMB1
small molecule,DB00190,Carbidopa,approved,DDC
small molecule,DB00192,Indecainide,approved,SCN5A
small molecule,DB00193,Tramadol,investigational,OPRM1
small molecule,DB00193,Tramadol,investigational,SLC6A2
small molecule,DB00193,Tramadol,investigational,SLC6A4
small molecule,DB00193,Tramadol,investigational,SCN2A
small molecule,DB00193,Tramadol,investigational,GRIN1
small molecule,DB00193,Tramadol,investigational,GRIN2A
small molecule,DB00193,Tramadol,investigational,GRIN2B
small molecule,DB00193,Tramadol,investigational,GRIN2C
small molecule,DB00193,Tramadol,investigational,GRIN2D
small molecule,DB00193,Tramadol,investigational,GRIN3A
small molecule,DB00193,Tramadol,investigational,GRIN3B
small molecule,DB00193,Tramadol,investigational,ADORA1
small molecule,DB00193,Tramadol,investigational,ADRA2A
small molecule,DB00193,Tramadol,investigational,ADRA2B
small molecule,DB00193,Tramadol,investigational,ADRA2C
small molecule,DB00193,Tramadol,investigational,HTR2C
small molecule,DB00193,Tramadol,investigational,OPRK1
small molecule,DB00193,Tramadol,investigational,OPRD1
small molecule,DB00193,Tramadol,investigational,CHRNA7
small molecule,DB00193,Tramadol,investigational,CHRM3
small molecule,DB00193,Tramadol,investigational,CHRM1
small molecule,DB00193,Tramadol,investigational,TACR1
small molecule,DB00193,Tramadol,investigational,TRPV1
small molecule,DB00195,Betaxolol,investigational,ADRB1
small molecule,DB00195,Betaxolol,investigational,ADRB2
small molecule,DB00198,Oseltamivir,approved,NEU1
small molecule,DB00198,Oseltamivir,approved,NEU2
small molecule,DB00200,Hydroxocobalamin,approved,MTR
small molecule,DB00200,Hydroxocobalamin,approved,MUT
small molecule,DB00200,Hydroxocobalamin,approved,MMAA
small molecule,DB00200,Hydroxocobalamin,approved,TCN1
small molecule,DB00200,Hydroxocobalamin,approved,AMN
small molecule,DB00200,Hydroxocobalamin,approved,CUBN
small molecule,DB00200,Hydroxocobalamin,approved,MMACHC
small molecule,DB00201,Caffeine,approved,ADORA1
small molecule,DB00201,Caffeine,approved,ADORA2A
small molecule,DB00201,Caffeine,approved,ADORA2B
small molecule,DB00201,Caffeine,approved,ADORA3
small molecule,DB00201,Caffeine,approved,PDE1B
small molecule,DB00201,Caffeine,approved,PDE4D
small molecule,DB00201,Caffeine,approved,PDE3B
small molecule,DB00201,Caffeine,approved,PDE5A
small molecule,DB00201,Caffeine,approved,PDE4B
small molecule,DB00201,Caffeine,approved,RYR1
small molecule,DB00201,Caffeine,approved,PDE1A
small molecule,DB00201,Caffeine,approved,PDE1B
small molecule,DB00201,Caffeine,approved,PDE1C
small molecule,DB00201,Caffeine,approved,PDE10A
small molecule,DB00201,Caffeine,approved,PDE4A
small molecule,DB00201,Caffeine,approved,PDE4B
small molecule,DB00201,Caffeine,approved,PDE4C
small molecule,DB00201,Caffeine,approved,PDE4D
small molecule,DB00201,Caffeine,approved,PDE7B
small molecule,DB00201,Caffeine,approved,PDE2A
small molecule,DB00201,Caffeine,approved,PDE3A
small molecule,DB00201,Caffeine,approved,PDE3B
small molecule,DB00201,Caffeine,approved,PDE5A
small molecule,DB00201,Caffeine,approved,PDE6C
small molecule,DB00201,Caffeine,approved,PDE11A
small molecule,DB00201,Caffeine,approved,PDE7A
small molecule,DB00201,Caffeine,approved,PDE8A
small molecule,DB00201,Caffeine,approved,PDE8B
small molecule,DB00201,Caffeine,approved,PDE9A
small molecule,DB00201,Caffeine,approved,PDE6A
small molecule,DB00201,Caffeine,approved,PDE6B
small molecule,DB00201,Caffeine,approved,PRKDC
small molecule,DB00201,Caffeine,approved,PIK3CD
small molecule,DB00201,Caffeine,approved,PIK3CA
small molecule,DB00201,Caffeine,approved,PIK3CB
small molecule,DB00201,Caffeine,approved,ITPR1
small molecule,DB00201,Caffeine,approved,ITPR2
small molecule,DB00201,Caffeine,approved,ITPR3
small molecule,DB00201,Caffeine,approved,ATM
small molecule,DB00202,Succinylcholine,approved,CHRNA10
small molecule,DB00202,Succinylcholine,approved,CHRNA2
small molecule,DB00202,Succinylcholine,approved,CHRNA3
small molecule,DB00202,Succinylcholine,approved,CHRNA4
small molecule,DB00202,Succinylcholine,approved,CHRNA5
small molecule,DB00202,Succinylcholine,approved,CHRNA6
small molecule,DB00202,Succinylcholine,approved,CHRNA7
small molecule,DB00202,Succinylcholine,approved,CHRNA9
small molecule,DB00202,Succinylcholine,approved,CHRNB2
small molecule,DB00202,Succinylcholine,approved,CHRNB3
small molecule,DB00202,Succinylcholine,approved,CHRNB4
small molecule,DB00202,Succinylcholine,approved,CHRM2
small molecule,DB00202,Succinylcholine,approved,CHRM3
small molecule,DB00203,Sildenafil,investigational,PDE5A
small molecule,DB00203,Sildenafil,investigational,PDE6G
small molecule,DB00203,Sildenafil,investigational,PDE6H
small molecule,DB00203,Sildenafil,investigational,ODC1
small molecule,DB00203,Sildenafil,investigational,CD274
small molecule,DB00204,Dofetilide,investigational,KCNH2
small molecule,DB00204,Dofetilide,investigational,KCNK2
small molecule,DB00204,Dofetilide,investigational,KCNJ12
small molecule,DB00207,Azithromycin,approved,PADI4
small molecule,DB00208,Ticlopidine,approved,P2RY12
small molecule,DB00209,Trospium,approved,CHRM3
small molecule,DB00209,Trospium,approved,CHRM1
small molecule,DB00210,Adapalene,approved,RARB
small molecule,DB00210,Adapalene,approved,RARG
small molecule,DB00210,Adapalene,approved,RXRB
small molecule,DB00210,Adapalene,approved,RXRG
small molecule,DB00210,Adapalene,approved,RXRA
small molecule,DB00210,Adapalene,approved,JUN
small molecule,DB00210,Adapalene,approved,TLR2
small molecule,DB00210,Adapalene,approved,RARA
small molecule,DB00210,Adapalene,approved,GOT1
small molecule,DB00211,Midodrine,approved,ADRA1A
small molecule,DB00211,Midodrine,approved,ADRA1B
small molecule,DB00211,Midodrine,approved,ADRA1D
small molecule,DB00213,Pantoprazole,approved,ATP4A
small molecule,DB00213,Pantoprazole,approved,DDAH1
small molecule,DB00214,Torasemide,approved,SLC12A2
small molecule,DB00214,Torasemide,approved,SLC12A1
small molecule,DB00215,Citalopram,approved,SLC6A4
small molecule,DB00215,Citalopram,approved,HRH1
small molecule,DB00216,Eletriptan,investigational,HTR1D
small molecule,DB00216,Eletriptan,investigational,HTR1B
small molecule,DB00216,Eletriptan,investigational,HTR1F
small molecule,DB00216,Eletriptan,investigational,HTR1A
small molecule,DB00217,Bethanidine,approved,KCNJ1
small molecule,DB00217,Bethanidine,approved,ADRA2A
small molecule,DB00217,Bethanidine,approved,ADRA2B
small molecule,DB00217,Bethanidine,approved,ADRA2C
small molecule,DB00217,Bethanidine,approved,ADRB1
small molecule,DB00217,Bethanidine,approved,ADRB2
small molecule,DB00217,Bethanidine,approved,ADRB3
small molecule,DB00218,Moxifloxacin,investigational,TOP2A
small molecule,DB00218,Moxifloxacin,investigational,PON1
small molecule,DB00219,Oxyphenonium,approved,CHRM1
small molecule,DB00221,Isoetharine,approved,ADRB1
small molecule,DB00221,Isoetharine,approved,ADRB2
small molecule,DB00222,Glimepiride,approved,KCNJ11
small molecule,DB00222,Glimepiride,approved,KCNJ1
small molecule,DB00222,Glimepiride,approved,ABCC8
small molecule,DB00223,Diflorasone,approved,NR3C1
small molecule,DB00226,Guanadrel,approved,SLC6A2
small molecule,DB00227,Lovastatin,investigational,HMGCR
small molecule,DB00227,Lovastatin,investigational,ITGAL
small molecule,DB00227,Lovastatin,investigational,HDAC2
small molecule,DB00230,Pregabalin,investigational,CACNA2D1
small molecule,DB00231,Temazepam,investigational,GABRA1
small molecule,DB00231,Temazepam,investigational,GABRA2
small molecule,DB00231,Temazepam,investigational,GABRA3
small molecule,DB00231,Temazepam,investigational,GABRA4
small molecule,DB00231,Temazepam,investigational,GABRA5
small molecule,DB00231,Temazepam,investigational,GABRA6
small molecule,DB00231,Temazepam,investigational,GABRB1
small molecule,DB00231,Temazepam,investigational,GABRB2
small molecule,DB00231,Temazepam,investigational,GABRB3
small molecule,DB00231,Temazepam,investigational,GABRD
small molecule,DB00231,Temazepam,investigational,GABRE
small molecule,DB00231,Temazepam,investigational,GABRG1
small molecule,DB00231,Temazepam,investigational,GABRG2
small molecule,DB00231,Temazepam,investigational,GABRG3
small molecule,DB00231,Temazepam,investigational,GABRP
small molecule,DB00231,Temazepam,investigational,GABRQ
small molecule,DB00231,Temazepam,investigational,GABRA1
small molecule,DB00231,Temazepam,investigational,GABRA2
small molecule,DB00231,Temazepam,investigational,GABRA3
small molecule,DB00231,Temazepam,investigational,GABRA5
small molecule,DB00231,Temazepam,investigational,GABRG1
small molecule,DB00231,Temazepam,investigational,GABRG2
small molecule,DB00231,Temazepam,investigational,GABRG3
small molecule,DB00233,Aminosalicylic acid,approved,PTGS2
small molecule,DB00233,Aminosalicylic acid,approved,CHUK
small molecule,DB00233,Aminosalicylic acid,approved,ALOX5
small molecule,DB00233,Aminosalicylic acid,approved,PLA2G2E
small molecule,DB00235,Milrinone,approved,PDE3A
small molecule,DB00239,Oxiconazole,approved,NR1I2
small molecule,DB00240,Alclometasone,approved,NR3C1
small molecule,DB00242,Cladribine,investigational,RRM1
small molecule,DB00242,Cladribine,investigational,RRM2
small molecule,DB00242,Cladribine,investigational,RRM2B
small molecule,DB00242,Cladribine,investigational,POLA1
small molecule,DB00242,Cladribine,investigational,POLE
small molecule,DB00242,Cladribine,investigational,POLE2
small molecule,DB00242,Cladribine,investigational,POLE3
small molecule,DB00242,Cladribine,investigational,POLE4
small molecule,DB00242,Cladribine,investigational,PNP
small molecule,DB00243,Ranolazine,investigational,SCN1A
small molecule,DB00243,Ranolazine,investigational,SCN10A
small molecule,DB00243,Ranolazine,investigational,SCN11A
small molecule,DB00243,Ranolazine,investigational,SCN2A
small molecule,DB00243,Ranolazine,investigational,SCN3A
small molecule,DB00243,Ranolazine,investigational,SCN4A
small molecule,DB00243,Ranolazine,investigational,SCN5A
small molecule,DB00243,Ranolazine,investigational,SCN7A
small molecule,DB00243,Ranolazine,investigational,SCN8A
small molecule,DB00243,Ranolazine,investigational,SCN9A
small molecule,DB00243,Ranolazine,investigational,SCN1B
small molecule,DB00243,Ranolazine,investigational,SCN2B
small molecule,DB00243,Ranolazine,investigational,SCN3B
small molecule,DB00243,Ranolazine,investigational,SCN4B
small molecule,DB00243,Ranolazine,investigational,KCNJ12
small molecule,DB00243,Ranolazine,investigational,KCNJ14
small molecule,DB00243,Ranolazine,investigational,KCNJ2
small molecule,DB00243,Ranolazine,investigational,KCNJ4
small molecule,DB00243,Ranolazine,investigational,CACNA1C
small molecule,DB00243,Ranolazine,investigational,CACNA1D
small molecule,DB00243,Ranolazine,investigational,CACNA1F
small molecule,DB00243,Ranolazine,investigational,CACNA1S
small molecule,DB00243,Ranolazine,investigational,CACNB1
small molecule,DB00243,Ranolazine,investigational,CACNB2
small molecule,DB00243,Ranolazine,investigational,CACNB3
